ImageName,O.Colorfulness,O.SubbandEntropy,O.FeatureCongestion,O.EdgeDensity,O.Heterogeneity,O.FeatureCount,O.ColorEntropy,O.ImageEntropy,VCScore,S.ColorDiversity,S.ShapeDiversity,S.ObjectDiversity,S.Patterns,S.FeatureCongestion,S.InformationCapacity,S.Understandability
Bar.InfoVisC.105.3.jpg,0.000 ,0.441 ,0.415 ,0.677 ,0.462 ,1.000 ,0.132 ,0.280 ,0.437 ,0.235 ,0.310 ,0.152 ,0.078 ,0.255 ,0.203 ,0.673 
Bar.InfoVisC.131.14.jpg,0.294 ,0.703 ,0.649 ,0.529 ,0.589 ,0.420 ,0.399 ,0.566 ,0.907 ,0.528 ,0.781 ,1.000 ,0.614 ,0.601 ,0.669 ,0.385 
Bar.InfoVisC.141.1.jpg,0.006 ,0.257 ,0.109 ,0.066 ,0.097 ,0.006 ,0.067 ,0.122 ,0.275 ,0.000 ,0.134 ,0.027 ,0.072 ,0.143 ,0.061 ,0.842 
Bar.InfoVisC.145.1.jpg,0.370 ,0.533 ,0.134 ,0.272 ,0.472 ,0.228 ,0.514 ,0.741 ,0.821 ,0.629 ,0.508 ,0.415 ,0.369 ,0.566 ,0.585 ,0.473 
Bar.InfoVisC.173.12.jpg,0.607 ,0.748 ,0.922 ,0.627 ,0.621 ,0.927 ,0.445 ,0.503 ,0.871 ,0.844 ,0.420 ,0.509 ,0.591 ,0.839 ,0.713 ,0.338 
Bar.InfoVisC.203.1.jpg,0.964 ,0.898 ,0.550 ,0.336 ,0.640 ,0.199 ,0.757 ,0.765 ,0.849 ,0.944 ,0.443 ,0.432 ,0.568 ,0.680 ,0.493 ,0.514 
Bar.InfoVisC.203.6.jpg,1.000 ,0.940 ,0.799 ,0.816 ,0.808 ,0.280 ,0.803 ,0.946 ,0.912 ,0.958 ,0.497 ,0.549 ,0.564 ,0.835 ,0.666 ,0.579 
Bar.InfoVisC.203.7.jpg,0.891 ,1.000 ,0.927 ,0.848 ,1.000 ,0.840 ,1.000 ,1.000 ,1.000 ,1.000 ,0.481 ,0.670 ,0.706 ,1.000 ,0.695 ,0.389 
Bar.InfoVisC.57.1.jpg,0.459 ,0.480 ,0.215 ,0.214 ,0.290 ,0.209 ,0.336 ,0.463 ,0.907 ,0.806 ,0.561 ,0.464 ,0.507 ,0.685 ,0.652 ,0.130 
Bar.InfoVisC.95.6.jpg,0.272 ,0.621 ,0.552 ,0.498 ,0.569 ,0.469 ,0.387 ,0.467 ,0.965 ,0.761 ,0.883 ,0.914 ,1.000 ,0.613 ,0.661 ,0.395 
Bar.InfoVisJ.1073.7.jpg,0.095 ,0.286 ,0.158 ,0.136 ,0.172 ,0.199 ,0.097 ,0.155 ,0.790 ,0.401 ,0.426 ,0.605 ,0.421 ,0.657 ,0.745 ,0.476 
Bar.InfoVisJ.1182.8.jpg,0.120 ,0.472 ,0.372 ,0.287 ,0.294 ,0.157 ,0.158 ,0.255 ,0.429 ,0.321 ,0.130 ,0.166 ,0.336 ,0.287 ,0.268 ,0.781 
Bar.InfoVisJ.1214.9.jpg,0.603 ,0.692 ,0.495 ,0.308 ,0.536 ,0.217 ,0.464 ,0.610 ,0.480 ,0.409 ,0.212 ,0.332 ,0.147 ,0.153 ,0.249 ,0.790 
Bar.InfoVisJ.1492.4.jpg,0.362 ,0.710 ,0.684 ,0.629 ,0.581 ,0.503 ,0.363 ,0.503 ,0.719 ,0.611 ,0.355 ,0.506 ,0.273 ,0.482 ,0.716 ,0.595 
Bar.InfoVisJ.330.11.jpg,0.262 ,0.538 ,0.491 ,0.493 ,0.428 ,0.463 ,0.231 ,0.351 ,0.632 ,0.524 ,0.289 ,0.454 ,0.332 ,0.487 ,0.556 ,0.600 
Bar.InfoVisJ.399.12.jpg,0.250 ,0.801 ,0.823 ,0.713 ,0.691 ,0.424 ,0.429 ,0.585 ,0.916 ,0.548 ,0.573 ,0.761 ,0.732 ,0.887 ,0.845 ,0.368 
Bar.InfoVisJ.401.9.jpg,0.350 ,0.359 ,0.229 ,0.183 ,0.181 ,0.119 ,0.137 ,0.212 ,0.542 ,0.550 ,0.185 ,0.234 ,0.214 ,0.191 ,0.306 ,0.814 
